code,name,start_date,end_date,days,p_change
000028,国药一致,2019-11-08,0,1,0
000048,*ST康达,2019-11-08,0,1,0
000062,深圳华强,2019-11-08,0,1,0
000063,中兴通讯,2019-11-08,0,1,0
000403,振兴生化,2019-11-08,0,1,0
000422,ST宜化,2019-11-08,0,1,0
000428,华天酒店,2019-11-08,0,1,0
000502,绿景控股,2019-11-08,0,1,0
000505,京粮控股,2019-11-08,0,1,0
000509,华塑控股,2019-11-08,0,1,0
000543,皖能电力,2019-11-08,0,1,0
000586,汇源通信,2019-11-08,0,1,0
000600,建投能源,2019-11-08,0,1,0
000622,恒立实业,2019-11-08,0,1,0
000637,茂化实华,2019-11-08,0,1,0
000679,大连友谊,2019-11-08,0,1,0
000692,惠天热电,2019-11-08,0,1,0
000695,滨海能源,2019-11-08,0,1,0
000697,炼石航空,2019-11-08,0,1,0
000702,正虹科技,2019-11-08,0,1,0
000779,甘咨询,2019-11-08,0,1,0
000782,美达股份,2019-11-08,0,1,0
000790,泰合健康,2019-11-08,0,1,0
000819,岳阳兴长,2019-11-08,0,1,0
000821,京山轻机,2019-11-08,0,1,0
000833,粤桂股份,2019-11-08,0,1,0
000875,吉电股份,2019-11-08,0,1,0
000902,新洋丰,2019-11-08,0,1,0
000918,嘉凯城,2019-11-08,0,1,0
000925,众合科技,2019-11-08,0,1,0
000929,兰州黄河,2019-11-08,0,1,0
000959,首钢股份,2019-11-08,0,1,0
000968,蓝焰控股,2019-11-08,0,1,0
000980,众泰汽车,2019-11-08,0,1,0
000985,大庆华科,2019-11-08,0,1,0
002006,精功科技,2019-11-08,0,1,0
002013,中航机电,2019-11-08,0,1,0
002052,同洲电子,2019-11-08,0,1,0
002054,德美化工,2019-11-08,0,1,0
002057,中钢天源,2019-11-08,0,1,0
002068,黑猫股份,2019-11-08,0,1,0
002071,长城影视,2019-11-08,0,1,0
002089,*ST新海,2019-11-08,0,1,0
002112,三变科技,2019-11-08,0,1,0
002125,湘潭电化,2019-11-08,0,1,0
002127,南极电商,2019-11-08,0,1,0
002136,安 纳 达,2019-11-08,0,1,0
002137,麦达数字,2019-11-08,0,1,0
002139,拓邦股份,2019-11-08,0,1,0
002162,悦心健康,2019-11-08,0,1,0
002176,江特电机,2019-11-08,0,1,0
002178,延华智能,2019-11-08,0,1,0
002195,二三四五,2019-11-08,0,1,0
002213,特 尔 佳,2019-11-08,0,1,0
002217,合力泰,2019-11-08,0,1,0
002219,恒康医疗,2019-11-08,0,1,0
002228,合兴包装,2019-11-08,0,1,0
002234,民和股份,2019-11-08,0,1,0
002237,恒邦股份,2019-11-08,0,1,0
002247,聚力文化,2019-11-08,0,1,0
002249,大洋电机,2019-11-08,0,1,0
002261,拓维信息,2019-11-08,0,1,0
002266,浙富控股,2019-11-08,0,1,0
002272,川润股份,2019-11-08,0,1,0
002288,超华科技,2019-11-08,0,1,0
002290,*ST中科,2019-11-08,0,1,0
002299,圣农发展,2019-11-08,0,1,0
002321,华英农业,2019-11-08,0,1,0
002329,皇氏集团,2019-11-08,0,1,0
002334,英威腾,2019-11-08,0,1,0
002337,赛象科技,2019-11-08,0,1,0
002345,潮宏基,2019-11-08,0,1,0
002347,泰尔股份,2019-11-08,0,1,0
002349,精华制药,2019-11-08,0,1,0
002354,天神娱乐,2019-11-08,0,1,0
002357,富临运业,2019-11-08,0,1,0
002367,康力电梯,2019-11-08,0,1,0
002377,国创高新,2019-11-08,0,1,0
002378,章源钨业,2019-11-08,0,1,0
002385,大北农,2019-11-08,0,1,0
002399,海普瑞,2019-11-08,0,1,0
002401,中远海科,2019-11-08,0,1,0
002403,爱仕达,2019-11-08,0,1,0
002435,长江润发,2019-11-08,0,1,0
002440,闰土股份,2019-11-08,0,1,0
002445,ST中南,2019-11-08,0,1,0
002458,益生股份,2019-11-08,0,1,0
002482,广田集团,2019-11-08,0,1,0
002485,希努尔,2019-11-08,0,1,0
002486,嘉麟杰,2019-11-08,0,1,0
002491,通鼎互联,2019-11-08,0,1,0
002508,老板电器,2019-11-08,0,1,0
002536,飞龙股份,2019-11-08,0,1,0
002543,万和电气,2019-11-08,0,1,0
002547,春兴精工,2019-11-08,0,1,0
002560,通达股份,2019-11-08,0,1,0
002562,兄弟科技,2019-11-08,0,1,0
002566,益盛药业,2019-11-08,0,1,0
002570,贝因美,2019-11-08,0,1,0
002575,群兴玩具,2019-11-08,0,1,0
002584,西陇科学,2019-11-08,0,1,0
002586,ST围海,2019-11-08,0,1,0
002625,光启技术,2019-11-08,0,1,0
002662,京威股份,2019-11-08,0,1,0
002664,长鹰信质,2019-11-08,0,1,0
002689,远大智能,2019-11-08,0,1,0
002694,顾地科技,2019-11-08,0,1,0
002697,红旗连锁,2019-11-08,0,1,0
002702,海欣食品,2019-11-08,0,1,0
002716,金贵银业,2019-11-08,0,1,0
002721,金一文化,2019-11-08,0,1,0
002734,利民股份,2019-11-08,0,1,0
002746,仙坛股份,2019-11-08,0,1,0
002750,龙津药业,2019-11-08,0,1,0
002753,永东股份,2019-11-08,0,1,0
002758,华通医药,2019-11-08,0,1,0
002759,天际股份,2019-11-08,0,1,0
002760,凤形股份,2019-11-08,0,1,0
002774,快意电梯,2019-11-08,0,1,0
002776,柏堡龙,2019-11-08,0,1,0
002787,华源控股,2019-11-08,0,1,0
002792,通宇通讯,2019-11-08,0,1,0
002830,名雕股份,2019-11-08,0,1,0
002845,同兴达,2019-11-08,0,1,0
002857,三晖电气,2019-11-08,0,1,0
002863,今飞凯达,2019-11-08,0,1,0
002864,盘龙药业,2019-11-08,0,1,0
002869,金溢科技,2019-11-08,0,1,0
002871,伟隆股份,2019-11-08,0,1,0
002896,中大力德,2019-11-08,0,1,0
002925,盈趣科技,2019-11-08,0,1,0
600010,包钢股份,2019-11-08,0,1,0
600019,宝钢股份,2019-11-08,0,1,0
600050,中国联通,2019-11-08,0,1,0
600052,浙江广厦,2019-11-08,0,1,0
600078,澄星股份,2019-11-08,0,1,0
600119,*ST长投,2019-11-08,0,1,0
600127,金健米业,2019-11-08,0,1,0
600130,波导股份,2019-11-08,0,1,0
600156,华升股份,2019-11-08,0,1,0
600162,香江控股,2019-11-08,0,1,0
600163,中闽能源,2019-11-08,0,1,0
600175,美都能源,2019-11-08,0,1,0
600183,生益科技,2019-11-08,0,1,0
600191,华资实业,2019-11-08,0,1,0
600192,长城电工,2019-11-08,0,1,0
600212,江泉实业,2019-11-08,0,1,0
600227,圣济堂,2019-11-08,0,1,0
600229,城市传媒,2019-11-08,0,1,0
600243,青海华鼎,2019-11-08,0,1,0
600250,南纺股份,2019-11-08,0,1,0
600257,大湖股份,2019-11-08,0,1,0
600260,凯乐科技,2019-11-08,0,1,0
600272,开开实业,2019-11-08,0,1,0
600315,上海家化,2019-11-08,0,1,0
600316,洪都航空,2019-11-08,0,1,0
600337,美克家居,2019-11-08,0,1,0
600339,中油工程,2019-11-08,0,1,0
600346,恒力石化,2019-11-08,0,1,0
600353,旭光股份,2019-11-08,0,1,0
600354,敦煌种业,2019-11-08,0,1,0
600355,精伦电子,2019-11-08,0,1,0
600359,新农开发,2019-11-08,0,1,0
600365,通葡股份,2019-11-08,0,1,0
600376,首开股份,2019-11-08,0,1,0
600382,广东明珠,2019-11-08,0,1,0
600386,北巴传媒,2019-11-08,0,1,0
600397,安源煤业,2019-11-08,0,1,0
600410,华胜天成,2019-11-08,0,1,0
600422,昆药集团,2019-11-08,0,1,0
600429,三元股份,2019-11-08,0,1,0
600467,好当家,2019-11-08,0,1,0
600506,香梨股份,2019-11-08,0,1,0
600510,黑牡丹,2019-11-08,0,1,0
600525,长园集团,2019-11-08,0,1,0
600538,国发股份,2019-11-08,0,1,0
600540,新赛股份,2019-11-08,0,1,0
600543,莫高股份,2019-11-08,0,1,0
600560,金自天正,2019-11-08,0,1,0
600561,江西长运,2019-11-08,0,1,0
600573,惠泉啤酒,2019-11-08,0,1,0
600589,广东榕泰,2019-11-08,0,1,0
600599,熊猫金控,2019-11-08,0,1,0
600612,老凤祥,2019-11-08,0,1,0
600626,申达股份,2019-11-08,0,1,0
600633,浙数文化,2019-11-08,0,1,0
600634,*ST富控,2019-11-08,0,1,0
600647,同达创业,2019-11-08,0,1,0
600655,豫园股份,2019-11-08,0,1,0
600679,上海凤凰,2019-11-08,0,1,0
600692,亚通股份,2019-11-08,0,1,0
600707,彩虹股份,2019-11-08,0,1,0
600708,光明地产,2019-11-08,0,1,0
600714,金瑞矿业,2019-11-08,0,1,0
600728,佳都科技,2019-11-08,0,1,0
600740,山西焦化,2019-11-08,0,1,0
600767,ST运盛,2019-11-08,0,1,0
600770,综艺股份,2019-11-08,0,1,0
600781,辅仁药业,2019-11-08,0,1,0
600791,京能置业,2019-11-08,0,1,0
600794,保税科技,2019-11-08,0,1,0
600804,鹏博士,2019-11-08,0,1,0
600807,ST天业,2019-11-08,0,1,0
600814,杭州解百,2019-11-08,0,1,0
600815,*ST厦工,2019-11-08,0,1,0
600817,ST宏盛,2019-11-08,0,1,0
600836,界龙实业,2019-11-08,0,1,0
600846,同济科技,2019-11-08,0,1,0
600847,万里股份,2019-11-08,0,1,0
600854,春兰股份,2019-11-08,0,1,0
600883,博闻科技,2019-11-08,0,1,0
600889,南京化纤,2019-11-08,0,1,0
600893,航发动力,2019-11-08,0,1,0
600936,广西广电,2019-11-08,0,1,0
600992,贵绳股份,2019-11-08,0,1,0
601016,节能风电,2019-11-08,0,1,0
601068,中铝国际,2019-11-08,0,1,0
601177,杭齿前进,2019-11-08,0,1,0
601218,吉鑫科技,2019-11-08,0,1,0
601515,东风股份,2019-11-08,0,1,0
601616,广电电气,2019-11-08,0,1,0
601677,明泰铝业,2019-11-08,0,1,0
601700,风范股份,2019-11-08,0,1,0
601800,中国交建,2019-11-08,0,1,0
601969,海南矿业,2019-11-08,0,1,0
601996,丰林集团,2019-11-08,0,1,0
603002,宏昌电子,2019-11-08,0,1,0
603003,龙宇燃油,2019-11-08,0,1,0
603006,联明股份,2019-11-08,0,1,0
603017,中衡设计,2019-11-08,0,1,0
603029,天鹅股份,2019-11-08,0,1,0
603066,音飞储存,2019-11-08,0,1,0
603078,江化微,2019-11-08,0,1,0
603106,恒银金融,2019-11-08,0,1,0
603126,中材节能,2019-11-08,0,1,0
603127,昭衍新药,2019-11-08,0,1,0
603131,上海沪工,2019-11-08,0,1,0
603157,拉夏贝尔,2019-11-08,0,1,0
603166,福达股份,2019-11-08,0,1,0
603168,莎普爱思,2019-11-08,0,1,0
603188,ST亚邦,2019-11-08,0,1,0
603189,网达软件,2019-11-08,0,1,0
603223,恒通股份,2019-11-08,0,1,0
603269,海鸥股份,2019-11-08,0,1,0
603308,应流股份,2019-11-08,0,1,0
603322,超讯通信,2019-11-08,0,1,0
603398,邦宝益智,2019-11-08,0,1,0
603421,鼎信通讯,2019-11-08,0,1,0
603516,淳中科技,2019-11-08,0,1,0
603520,司太立,2019-11-08,0,1,0
603533,掌阅科技,2019-11-08,0,1,0
603535,嘉诚国际,2019-11-08,0,1,0
603536,惠发食品,2019-11-08,0,1,0
603557,起步股份,2019-11-08,0,1,0
603595,东尼电子,2019-11-08,0,1,0
603618,杭电股份,2019-11-08,0,1,0
603633,徕木股份,2019-11-08,0,1,0
603660,苏州科达,2019-11-08,0,1,0
603678,火炬电子,2019-11-08,0,1,0
603737,三棵树,2019-11-08,0,1,0
603777,来伊份,2019-11-08,0,1,0
603779,威龙股份,2019-11-08,0,1,0
603899,晨光文具,2019-11-08,0,1,0
603900,莱绅通灵,2019-11-08,0,1,0
603908,牧高笛,2019-11-08,0,1,0
603922,金鸿顺,2019-11-08,0,1,0
603978,深圳新星,2019-11-08,0,1,0
